fragment_id,behavior_id
0,12
1,3
2,3
3,6
4,13
5,12
6,13
7,3
8,2
9,8
10,8
11,9
12,11
13,11
14,5
15,11
16,1
17,14
18,16
19,11
20,15
21,11
22,11
23,11
24,11
25,5
26,8
27,3
28,6
29,8
30,11
31,2
32,12
33,18
34,1
35,1
36,13
37,14
38,5
39,1
40,13
41,12
42,6
43,3
44,17
45,17
46,17
47,0
48,11
49,6
50,16
51,3
52,6
53,6
54,3
55,12
56,15
57,5
58,1
59,12
60,14
61,17
62,3
63,18
64,12
65,18
66,12
67,0
68,11
69,7
70,12
71,3
72,2
73,12
74,1
75,13
76,6
77,3
78,17
79,9
80,2
81,18
82,16
83,2
84,6
85,11
86,13
87,2
88,8
89,1
90,17
91,9
92,0
93,12
94,2
95,18
96,16
97,8
98,6
99,14
100,8
101,16
102,4
103,12
104,1
105,1
106,1
107,8
108,0
109,9
110,7
111,6
112,13
113,9
114,14
115,6
116,14
117,1
118,12
119,3
120,4
121,15
122,6
123,12
124,15
125,16
126,12
127,12
128,12
129,6
130,6
131,16
132,6
133,8
134,4
135,15
136,14
137,11
138,7
139,1
140,15
141,16
142,6
143,8
144,6
145,11
146,15
147,6
148,11
149,3
150,6
151,3
152,11
153,3
154,2
155,6
156,12
157,14
158,18
159,1
160,17
161,0
162,6
163,6
164,14
165,9
166,10
167,12
168,12
169,11
170,7
171,6
172,7
173,9
174,1
175,4
176,8
177,11
178,16
179,11
180,8
181,11
182,12
183,6
184,4
185,11
186,2
187,3
188,15
189,12
190,12
191,12
192,4
193,4
194,1
195,12
196,11
197,18
198,5
199,3
200,6
201,8
202,11
203,9
204,11
205,15
206,10
207,14
208,5
209,11
210,2
211,12
212,8
213,2
214,6
215,12
216,1
217,11
218,13
219,2
220,8
221,10
222,1
223,13
224,5
225,10
226,10
227,9
228,14
229,12
230,6
231,5
232,5
233,5
234,16
235,11
236,4
237,6
238,1
239,11
240,6
241,11
242,11
243,7
244,11
245,9
246,6
247,4
248,1
249,5
250,12
251,12
252,1
253,14
254,16
255,4
256,18
257,9
258,6
259,11
260,2
261,11
262,3
263,13
264,12
265,10
266,1
267,2
268,2
269,8
270,5
271,9
272,12
273,10
274,2
275,11
276,18
277,6
278,0
279,14
280,1
281,15
282,11
283,6
284,6
285,2
286,14
287,2
288,13
289,11
290,1
291,3
292,14
293,6
294,10
295,9
296,14
297,14
298,16
299,11
300,17
301,5
302,15
303,1
304,11
305,14
306,7
307,16
308,2
309,6
310,18
311,15
312,14
313,10
314,15
315,4
316,11
317,3
318,11
319,13
320,13
321,15
322,1
323,14
324,12
325,12
326,12
327,11
328,9
329,4
330,1
331,6
332,5
333,1
334,11
335,12
336,14
337,11
338,1
339,6
340,11
341,1
342,8
343,5
344,16
345,12
346,14
347,16
348,2
349,2
350,3
351,18
352,4
353,16
354,16
355,1
356,5
357,11
358,14
359,14
360,14
361,14
362,9
363,14
364,15
365,15
366,15
367,12
368,8
369,3
370,1
371,11
372,15
373,4
374,14
375,11
376,2
377,5
378,12
379,0
380,12
381,5
382,0
383,1
384,6
385,13
386,14
387,1
388,12
389,14
390,0
391,1
392,12
393,6
394,1
395,6
396,12
397,10
398,13
399,12
400,8
401,12
402,0
403,1
404,15
405,3
406,13
407,16
408,6
409,12
410,6
411,7
412,14
413,1
414,13
415,1
416,3
417,3
418,7
419,1
420,3
421,0
422,18
423,11
424,5
425,13
426,2
427,1
428,13
429,5
430,11
431,3
432,11
433,12
434,11
435,0
436,2
437,6
438,11
439,0
440,7
441,12
442,6
443,4
444,5
445,1
446,11
447,1
448,6
449,9
450,18
451,4
452,11
453,12
454,16
455,16
456,14
457,1
458,12
459,6
460,3
461,6
462,12
463,3
464,1
465,7
466,18
467,17
468,6
469,11
470,12
471,4
472,4
473,11
474,12
475,4
476,5
477,9
478,12
479,11
480,1
481,11
482,11
483,7
484,16
485,3
486,12
487,1
488,2
489,13
490,11
491,11
492,2
493,6
494,14
495,16
496,2
497,11
498,11
499,5
500,4
501,14
502,14
503,13
504,1
505,8
506,2
507,12
508,12
509,2
510,8
511,12
512,3
513,7
514,14
515,8
516,5
517,13
518,0
519,1
520,14
521,12
522,4
523,6
524,13
525,1
526,7
527,4
528,0
529,15
530,10
531,18
532,11
533,6
534,11
535,0
536,2
537,2
538,0
539,1
540,1
541,1
542,9
543,16
544,18
545,1
546,16
547,14
548,6
549,4
550,4
551,6
552,2
553,6
554,0
555,1
556,2
557,11
558,11
559,12
560,8
561,1
562,8
563,4
564,0
565,12
566,12
567,11
568,4
569,6
570,3
571,14
572,11
573,16
574,6
575,16
576,4
577,6
578,10
579,2
580,11
581,15
582,12
583,11
584,3
585,1
586,1
587,13
588,5
589,16
590,4
591,8
592,4
593,14
594,14
595,11
596,3
597,15
598,2
599,12
600,1
601,1
602,1
603,18
604,2
605,12
606,11
607,15
608,16
609,11
610,11
611,6
612,1
613,3
614,2
615,6
616,2
617,4
618,18
619,11
620,6
621,0
622,5
623,8
624,16
625,15
626,7
627,7
628,6
629,3
630,14
631,11
632,2
633,2
634,1
635,5
636,14
637,8
638,5
639,16
640,11
641,7
642,8
643,11
644,12
645,6
646,10
647,11
648,0
649,7
650,13
651,11
652,9
653,1
654,1
655,2
656,3
657,12
658,12
659,13
660,12
661,5
662,12
663,14
664,1
665,7
666,9
667,11
668,6
669,1
670,6
671,15
672,6
673,11
674,1
675,1
676,0
677,12
678,11
679,6
680,1
681,12
682,12
683,5
684,5
685,15
686,1
687,14
688,11
689,14
690,15
691,6
692,11
693,10
694,7
695,15
696,11
697,14
698,16
699,4
700,18
701,2
702,12
703,14
704,4
705,2
706,12
707,3
708,9
709,16
710,1
711,12
712,2
713,4
714,16
715,7
716,11
717,3
718,5
719,11
720,7
721,14
722,1
723,18
724,11
725,6
726,12
727,4
728,13
729,1
730,11
731,17
732,12
733,1
734,0
735,1
736,6
737,14
738,13
739,4
740,16
741,6
742,7
743,12
744,5
745,6
746,4
747,8
748,6
749,6
750,12
751,9
752,7
753,2
754,8
755,9
756,8
757,3
758,1
759,8
760,5
761,12
762,14
763,13
764,6
765,12
766,12
767,12
768,6
769,8
770,4
771,14
772,0
773,0
774,6
775,13
776,0
777,4
778,18
779,15
780,11
781,6
782,16
783,8
784,16
785,12
786,12
787,16
788,7
789,13
790,4
791,6
792,11
793,12
794,2
795,4
796,11
797,7
798,15
799,12
800,5
801,10
802,7
803,6
804,5
805,18
806,9
807,11
808,1
809,1
810,11
811,13
812,13
813,2
814,2
815,11
816,11
817,2
818,16
819,0
820,11
821,1
822,6
823,12
824,14
825,14
826,2
827,12
828,4
829,3
830,0
831,17
832,18
833,16
834,2
835,16
836,0
837,13
838,7
839,2
840,0
841,2
842,11
843,2
844,12
845,1
846,14
847,11
848,0
849,11
850,14
851,16
852,4
853,13
854,3
855,3
856,18
857,14
858,8
859,6
860,6
861,14
862,13
863,7
864,13
865,2
866,13
867,0
868,16
869,11
870,5
871,7
872,3
873,5
874,14
875,1
876,12
877,15
878,5
879,0
880,6
881,15
882,15
883,1
884,0
885,12
886,1
887,8
888,15
889,11
890,12
891,11
892,1
893,16
894,13
895,0
896,4
897,11
898,11
899,11
900,16
901,2
902,11
903,5
904,5
905,15
906,12
907,3
908,12
909,11
910,16
911,11
912,14
913,11
914,8
915,4
916,3
917,11
918,11
919,6
920,16
921,6
922,1
923,15
924,14
925,2
926,6
927,1
928,0
929,12
930,16
931,1
932,11
933,4
934,0
935,11
936,9
937,8
938,10
939,0
940,4
941,16
942,12
943,13
944,11
945,13
946,11
947,3
948,11
949,3
950,9
951,14
952,1
953,0
954,13
955,6
956,4
957,8
958,5
959,1
960,5
961,1
962,9
963,6
964,4
965,6
966,11
967,8
968,2
969,1
970,15
971,6
972,0
973,12
974,18
975,8
976,13
977,2
978,6
979,3
980,16
981,13
982,0
983,13
984,6
985,12
986,14
987,6
988,5
989,12
990,3
991,12
992,1
993,2
994,12
995,1
996,17
997,16
998,14
999,5
1000,4
1001,4
1002,1
1003,12
1004,5
1005,8
1006,14
1007,6
1008,10
1009,9
1010,18
1011,15
1012,9
1013,8
1014,0
1015,18
1016,4
1017,11
1018,12
1019,7
1020,5
1021,14
1022,6
1023,13
1024,3
1025,9
1026,11
1027,7
1028,12
1029,4
1030,12
1031,11
1032,6
1033,4
1034,1
1035,13
1036,2
1037,14
1038,1
1039,6
1040,6
1041,1
1042,9
1043,16
1044,11
1045,1
1046,6
1047,11
1048,8
1049,1
1050,13
1051,12
1052,7
1053,10
1054,2
1055,2
1056,14
1057,11
1058,12
1059,6
1060,6
1061,16
1062,17
1063,14
1064,11
1065,12
1066,14
1067,11
1068,6
1069,4
1070,4
1071,1
1072,16
1073,16
1074,10
1075,4
1076,13
1077,1
1078,4
1079,8
1080,12
1081,12
1082,14
1083,14
1084,1
1085,11
1086,2
1087,12
1088,14
1089,11
1090,7
1091,14
1092,2
1093,14
1094,5
1095,1
1096,12
1097,11
1098,2
1099,12
1100,11
1101,13
1102,11
1103,2
1104,3
1105,6
1106,11
1107,1
1108,6
1109,7
1110,8
1111,6
1112,4
1113,14
1114,12
1115,8
1116,12
1117,8
1118,18
1119,0
1120,8
1121,1
1122,8
1123,14
1124,11
1125,14
1126,17
1127,3
1128,12
1129,15
1130,8
1131,3
1132,6
1133,6
1134,7
1135,12
1136,12
1137,4
1138,16
1139,14
1140,13
1141,14
1142,6
1143,1
1144,12
1145,6
1146,10
1147,8
1148,2
1149,12
1150,12
1151,14
1152,11
1153,6
1154,4
1155,11
1156,14
1157,1
1158,14
1159,4
1160,1
1161,11
1162,8
1163,15
1164,4
1165,14
1166,13
1167,16
1168,7
1169,2
1170,9
1171,17
1172,15
1173,0
1174,2
1175,8
1176,8
1177,12
1178,11
1179,10
1180,15
1181,1
1182,12
1183,5
1184,11
1185,9
1186,11
1187,11
1188,11
1189,18
1190,12
1191,10
1192,12
1193,14
1194,11
1195,9
1196,11
1197,4
1198,7
1199,18
1200,11
1201,12
1202,6
1203,15
1204,8
1205,1
1206,11
1207,2
1208,6
1209,14
1210,4
1211,18
1212,6
1213,1
1214,13
1215,16
1216,12
1217,15
1218,5
1219,11
1220,6
1221,3
1222,1
1223,17
1224,12
1225,3
1226,6
1227,13
1228,12
1229,16
1230,1
1231,5
1232,6
1233,6
1234,13
1235,6
1236,8
1237,11
1238,4
1239,12
1240,13
1241,11
1242,3
1243,6
1244,5
1245,5
1246,10
1247,14
1248,14
1249,18
1250,6
1251,6
1252,10
1253,5
1254,12
1255,15
1256,15
1257,4
1258,7
1259,12
1260,14
1261,12
1262,14
1263,12
1264,17
1265,3
1266,4
1267,5
1268,11
1269,1
1270,17
1271,7
1272,14
1273,16
1274,12
1275,6
1276,12
1277,6
1278,12
1279,1
1280,14
1281,11
1282,16
1283,6
1284,9
1285,0
1286,14
1287,16
1288,8
1289,3
1290,11
1291,13
1292,6
1293,16
1294,2
1295,12
1296,10
1297,6
1298,15
1299,4
1300,16
1301,17
1302,8
1303,9
1304,14
1305,6
1306,17
1307,14
1308,11
1309,18
1310,15
1311,11
1312,11
1313,0
1314,6
1315,16
1316,6
1317,14
1318,1
1319,6
1320,15
1321,15
1322,0
1323,1
1324,12
1325,11
1326,11
1327,0
1328,4
1329,7
1330,2
1331,16
1332,11
1333,5
1334,5
1335,8
1336,8
1337,2
1338,14
1339,18
1340,9
1341,3
1342,2
1343,1
1344,2
1345,6
1346,7
1347,8
1348,6
1349,11
1350,6
1351,6
1352,11
1353,8
1354,12
1355,11
1356,2
1357,5
1358,11
1359,4
1360,0
1361,14
1362,5
1363,15
1364,7
1365,12
1366,12
1367,18
1368,12
1369,12
1370,1
1371,4
1372,8
1373,0
1374,15
1375,11
1376,12
1377,6
1378,0
1379,2
1380,6
1381,15
1382,9
1383,4
1384,13
1385,6
1386,6
1387,3
1388,11
1389,11
1390,6
1391,4
1392,4
1393,14
1394,15
1395,16
1396,12
1397,4
1398,14
1399,3
1400,2
1401,11
1402,6
1403,2
1404,7
1405,10
1406,5
1407,13
1408,12
1409,3
1410,12
1411,3
1412,16
1413,4
1414,4
1415,8
1416,6
1417,12
1418,6
1419,6
1420,6
1421,16
1422,12
1423,9
1424,4
1425,12
1426,7
1427,0
1428,6
1429,6
1430,12
1431,18
1432,4
1433,14
1434,6
1435,3
1436,0
1437,1
1438,4
1439,1
1440,11
1441,15
1442,4
1443,12
1444,11
1445,4
1446,4
1447,5
1448,13
1449,12
1450,2
1451,14
1452,10
1453,14
1454,6
1455,8
1456,10
1457,0
1458,8
1459,13
1460,12
1461,4
1462,6
1463,11
1464,11
1465,12
1466,12
1467,7
1468,6
1469,9
1470,1
1471,12
1472,3
1473,9
1474,12
1475,1
1476,13
1477,16
1478,7
1479,1
1480,5
1481,4
1482,15
1483,5
1484,6
1485,5
1486,14
1487,1
1488,11
1489,11
1490,11
1491,15
1492,4
1493,6
1494,14
1495,14
1496,12
1497,5
1498,1
1499,6
1500,4
1501,7
1502,12
1503,18
1504,0
1505,12
1506,11
1507,8
1508,12
1509,1
1510,1
1511,0
1512,1
1513,14
1514,12
1515,6
1516,5
1517,8
1518,7
1519,6
1520,11
1521,8
1522,1
1523,7
1524,5
1525,13
1526,6
1527,1
1528,14
1529,1
1530,8
1531,18
1532,18
1533,11
1534,14
1535,11
1536,11
1537,13
1538,9
1539,0
1540,6
1541,7
1542,3
1543,11
1544,1
1545,15
1546,5
1547,9
1548,16
1549,4
1550,12
1551,8
1552,11
1553,0
1554,11
1555,12
1556,16
1557,11
1558,14
1559,6
1560,11
1561,11
1562,8
1563,14
1564,14
1565,9
1566,6
1567,13
1568,13
1569,6
1570,14
1571,18
1572,4
1573,18
1574,16
1575,14
1576,10
1577,16
1578,12
1579,15
1580,1
1581,17
1582,6
1583,18
1584,1
1585,1
1586,13
1587,2
1588,11
1589,0
1590,12
1591,11
1592,7
1593,6
1594,2
1595,6
1596,11
1597,14
1598,3
1599,14
1600,12
1601,8
1602,4
1603,17
1604,0
1605,8
1606,6
1607,9
1608,15
1609,2
1610,8
1611,7
1612,12
1613,1
1614,2
1615,0
1616,13
1617,16
1618,13
1619,2
1620,11
1621,18
1622,14
1623,12
1624,12
1625,1
1626,5
1627,8
1628,11
1629,8
1630,14
1631,6
1632,5
1633,1
1634,16
1635,13
1636,6
1637,5
1638,18
1639,6
1640,7
1641,8
1642,5
1643,11
1644,1
1645,13
1646,11
1647,11
1648,16
1649,18
1650,14
1651,2
1652,9
1653,15
1654,13
1655,1
1656,8
1657,6
1658,1
1659,12
1660,13
1661,17
1662,14
1663,5
1664,15
1665,4
1666,6
1667,16
1668,13
1669,4
1670,4
1671,10
1672,6
1673,3
1674,4
1675,18
1676,6
1677,1
1678,14
1679,6
1680,9
1681,11
1682,15
1683,1
1684,11
1685,9
1686,1
1687,1
1688,8
1689,3
1690,6
1691,6
1692,8
1693,5
1694,17
1695,11
1696,0
1697,6
1698,1
1699,6
1700,1
1701,8
1702,3
1703,4
1704,0
1705,12
1706,12
1707,7
1708,11
1709,2
1710,14
1711,9
1712,17
1713,0
1714,15
1715,14
1716,14
1717,9
1718,9
1719,6
1720,2
1721,4
1722,16
1723,6
1724,13
1725,8
1726,1
1727,1
1728,2
1729,17
1730,14
1731,6
1732,4
1733,14
1734,6
1735,1
1736,18
1737,15
1738,3
1739,18
1740,11
1741,3
1742,6
1743,11
1744,14
1745,1
